rc	context	simul	
http://dbpedia.org/resource/Maahes	Egyptian	The lion, a knife or a sword	
http://dbpedia.org/resource/Mahavira	Jain	Lion	
http://dbpedia.org/resource/Lambda_Theta_Alpha	Academic	La Perla , La Concha , La Luna , y La Palma	
http://dbpedia.org/resource/Lambda_Theta_Nu	Academic	Rose	
http://dbpedia.org/resource/Gate_turn-off_thyristor	active	130	
http://dbpedia.org/resource/JFET	Active	80	
http://dbpedia.org/resource/Uranus_(mythology)	Greek	Zodiac Wheel	
http://dbpedia.org/resource/Utu	Mesopotamian	Mace, Saw, Sun rays from shoulders, Sun Disk	
http://dbpedia.org/resource/Vasupujya	Jain	Buffalo	
http://dbpedia.org/resource/Veles_(god)	Slavic	Bear, wolf, snake, dragon, owl, willow	
http://dbpedia.org/resource/Vesta_(mythology)	Roman	The hearth and its fire	
http://dbpedia.org/resource/Cupid	Roman	http://dbpedia.org/resource/Bow_and_arrow	
http://dbpedia.org/resource/Sekhmet	Egyptian	Sun disk, red linen, lioness	
http://dbpedia.org/resource/Svetovid	Slavic	four heads or faces, white stallion, horn of plenty, sword	
http://dbpedia.org/resource/Maman_Brigitte	Voodoo	Rum, hot peppers, fire, gravestones, crosses	
http://dbpedia.org/resource/Ekwensu	Alusi	Tortoise	
http://dbpedia.org/resource/Sah_(god)	Egyptian	star	
http://dbpedia.org/resource/Saturn_(mythology)	Roman	Sickle, scythe	
http://dbpedia.org/resource/Satya_Narayan_(Hindu_deity)	Hindu	http://dbpedia.org/resource/Musa_(genus)	
http://dbpedia.org/resource/Nalakuvara	Hindu	Cashewnut	
http://dbpedia.org/resource/Hainuwele	Southeast Asian	Coconut flower	
http://dbpedia.org/resource/Kanaloa	Hawaiian	squid or octopus	
http://dbpedia.org/resource/Kannaki_Amman	Hindu	http://dbpedia.org/resource/Azadirachta_indica	
http://dbpedia.org/resource/Kannaki_Amman	Hindu	http://dbpedia.org/resource/Anklet	
http://dbpedia.org/resource/Manibhadra	hindu	power	
http://dbpedia.org/resource/Tefnut	Egyptian	Lioness	
http://dbpedia.org/resource/Brahma	Hindu	Padma, Vedas, Japamala and Kamandalu	
http://dbpedia.org/resource/Gamma_Phi_Delta_(sorority)	Business	Butterfly, Dove and Lamp	
http://dbpedia.org/resource/Sigma_Alpha_Omega	Christian and Scholarship	Dove	
http://dbpedia.org/resource/Phi_Kappa_Mu	College, Medical	Fraternity seal	
http://dbpedia.org/resource/Pershing_Angels	Drill Sorority	Dove	
http://dbpedia.org/resource/National_Society_of_Blackjacks	Drill/Service	Blackjacks Coat of Arms	
http://dbpedia.org/resource/Tau_Alpha	Exclusive Engineering-based Fraternity	Fraternity Seal	
http://dbpedia.org/resource/Pershing_Rifles	Fraternal/military	Pershing Rifles Coat of Arms	
http://dbpedia.org/resource/Flag_of_Japan	Fthh	B-	
http://dbpedia.org/resource/Delta_Psi_Epsilon	http://dbpedia.org/resource/Christian_Sorority	http://dbpedia.org/resource/Hummingbird	
http://dbpedia.org/resource/Chi_Upsilon_Sigma	http://dbpedia.org/resource/Cultural_interest_fraternities_and_sororities	http://dbpedia.org/resource/Owl	
http://dbpedia.org/resource/Lambda_Sigma_Upsilon	http://dbpedia.org/resource/Cultural_interest_fraternities_and_sororities	http://dbpedia.org/resource/Taíno	
http://dbpedia.org/resource/Pi_Alpha_Phi	http://dbpedia.org/resource/Cultural_interest_fraternities_and_sororities	Brotherhood Links	
http://dbpedia.org/resource/Mu_Sigma_Upsilon	http://dbpedia.org/resource/Cultural_interest_fraternities_and_sororities	Amazon Woman, strong, fierce and independent	
http://dbpedia.org/resource/Crystal_oscillator	http://dbpedia.org/resource/Electromechanics	100	
http://dbpedia.org/resource/Thyristor	http://dbpedia.org/resource/Electronic_component	150	
http://dbpedia.org/resource/University_of_Waterloo_Faculty_of_Engineering	http://dbpedia.org/resource/Faculty_(division)	Wrench	
http://dbpedia.org/resource/University_of_Waterloo_Faculty_of_Mathematics	http://dbpedia.org/resource/Faculty_(division)	Pink tie	
http://dbpedia.org/resource/Delphic_Fraternity	http://dbpedia.org/resource/Fraternities_and_sororities	Delphic 7	
http://dbpedia.org/resource/Delta_Omega_Epsilon	http://dbpedia.org/resource/Fraternities_and_sororities	Phoenix and Dolphin	
http://dbpedia.org/resource/Delta_Phi_Beta	http://dbpedia.org/resource/Fraternities_and_sororities	Elephant	
http://dbpedia.org/resource/Psi_Upsilon	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Diamond	
http://dbpedia.org/resource/Psi_Upsilon	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Owl	
http://dbpedia.org/resource/Alpha_Nu_Omega	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Columbidae	
http://dbpedia.org/resource/Demeter	Greek	http://dbpedia.org/resource/Cornucopia	
http://dbpedia.org/resource/Demeter	Greek	http://dbpedia.org/resource/Torch	
http://dbpedia.org/resource/Demeter	Greek	http://dbpedia.org/resource/Bread	
http://dbpedia.org/resource/Demeter	Greek	http://dbpedia.org/resource/Wheat	
http://dbpedia.org/resource/Dharmanatha	Jain	Vajra	
http://dbpedia.org/resource/Diana_(mythology)	Roman	Bow and quiver, deer, hunting dogs, crescent moon	
http://dbpedia.org/resource/Khepri	Egyptian	http://dbpedia.org/resource/Scarab_(artifact)	
http://dbpedia.org/resource/Khepri	Egyptian	http://dbpedia.org/resource/Nymphaea_caerulea	
