"prop"	"symbol"	"redirected"
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/Dievs,_svētī_Latviju!"	
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/National_symbols_of_Latvia"	
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/5_lats_coin"	
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/Freedom_Monument"	
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/Flag_of_Latvia"	
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/White_wagtail"	
"http://dbpedia.org/resource/Category:National_symbols_of_Latvia"	"http://dbpedia.org/resource/Coat_of_arms_of_Latvia"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Flag_of_the_State_of_New_Jersey"	"http://dbpedia.org/resource/Coat_of_arms_and_flag_of_New_Jersey"
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Knobbed_whelk"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Quercus_rubra"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Coat_of_arms_and_flag_of_New_Jersey"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/List_of_New_Jersey_state_symbols"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Square_dance"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Hadrosaurus"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/American_goldfinch"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Brook_trout"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/A._J._Meerwald"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Viola_sororia"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Downer_(soil)"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Horse"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Jersey"	"http://dbpedia.org/resource/Blueberry"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/A_mari_usque_ad_mare"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Ice_hockey"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Regional_tartans_of_Canada"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Flag_of_Canada"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/North_American_beaver"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canadian_Red_Ensign"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canadian_football"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Lacrosse_in_Canada"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/National_symbols_of_Canada"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Great_Seal_of_Canada"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Maple_leaf"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Snowbirds"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Vive_la_Canadienne"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Flag_of_Carillon"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Johnny_Canuck"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Historical_flags_of_the_British_Empire_and_the_overseas_territories"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Box_lacrosse"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Acer_saccharum"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canada_150_tulip"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canadian_Duality_Flag"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canadian_Parliamentary_Flag_Program"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canadian_horse"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Canadian_royal_symbols"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Royal_Canadian_Mounted_Police"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/National_colours_of_Canada"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/St_Edward's_Crown"	
"http://dbpedia.org/resource/Category:National_symbols_of_Canada"	"http://dbpedia.org/resource/Federal_Identity_Program"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Rooster_of_Barcelos"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Efígie_da_República"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/National_symbols_of_Portugal"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Flag_of_Portugal"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Zé_Povinho"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Os_Lusíadas"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Hymn_of_the_Azores"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Hino_da_Região_Autónoma_da_Madeira"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/A_Portuguesa"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Portuguese_Crown_Jewels"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Guardian_Angel_of_Portugal"	
